feature,importance
13_0_0_rolling_std_6,0.0005939606
0_0_30_lag_168,0.0005937879
7_2_17_rolling_3,0.0005831856
13_0_18_lag_12,0.0005826991
10_1_15_rolling_24,0.0005711286
11_0_19_rolling_6,0.00057087385
14_2_18_rolling_std_6,0.000570316
7_2_9_rolling_3,0.00056166534
15_0_22_rolling_3,0.0005613414
17_2_13_rolling_6,0.00055805134
15_0_18_rolling_3,0.00055579795
19_2_21_lag_168,0.0005529943
1_1_8_lag_12,0.0005525707
29_0_1_rolling_3,0.0005522872
0_2_21_rolling_3,0.00055120786
24_0_18_rolling_12,0.0005464317
20_0_24_rolling_6,0.000542534
2_0_7_rolling_std_24,0.0005400765
19_2_15_lag_24,0.0005382947
20_2_2_rolling_6,0.00053616724
8_0_31_rolling_12,0.0005329372
10_1_1_rolling_12,0.00053255376
28_0_23_rolling_3,0.0005243283
18_1_6_rolling_12,0.0005226004
28_0_22_rolling_3,0.00052255974
13_2_6_lag_12,0.0005212061
14_1_4_rolling_12,0.0005127206
28_1_26_rolling_24,0.00050765753
3_0_20_lag_12,0.00050752267
27_1_14_rolling_3,0.00050600036
28_0_15_rolling_std_6,0.00050598086
22_1_9_rolling_3,0.00050271634
25_1_29_lag_12,0.00050177105
27_1_12_rolling_3,0.00050127174
8_0_15_rolling_std_24,0.00049989385
26_2_10_lag_6,0.00049877097
19_2_4_rolling_std_24,0.00049677625
22_1_18_lag_12,0.0004946617
24_2_16_lag_168,0.00048378328
8_0_20_rolling_3,0.0004774259
8_2_19_rolling_24,0.00047658826
15_0_12_rolling_3,0.0004764655
18_1_22_lag_1,0.0004713841
6_0_3_rolling_std_24,0.00047076418
8_2_22_lag_1,0.00046702923
13_1_18_lag_12,0.000460965
12_0_30_lag_12,0.0004601536
28_0_10_rolling_6,0.00045987932
15_1_15_rolling_std_24,0.00045922195
17_1_0_rolling_12,0.00045917148
15_2_9_rolling_3,0.00045834904
2_0_3_rolling_24,0.00045561485
24_2_3_rolling_6,0.0004540303
27_2_10_rolling_std_6,0.00045156936
3_2_6_rolling_std_6,0.00045107922
14_2_5_rolling_std_6,0.00044886122
29_0_9_rolling_3,0.00044543532
7_0_7_rolling_24,0.0004429936
19_2_21_rolling_3,0.0004426464
12_2_0_rolling_24,0.0004411458
11_1_25_rolling_6,0.00043626735
24_0_17_rolling_6,0.00043424702
18_1_14_lag_168,0.0004340887
2_2_12_rolling_3,0.0004329679
2_1_22_rolling_3,0.0004293388
24_1_15_rolling_std_6,0.00042395224
24_2_8_rolling_std_24,0.00042002415
25_0_9_rolling_3,0.00041103235
27_0_1_rolling_24,0.00041052836
6_2_9_lag_168,0.0004093948
6_1_24_rolling_std_24,0.00040589087
8_2_17_lag_6,0.00040418215
15_0_19_rolling_3,0.00040255964
7_1_8_rolling_std_6,0.00039571425
26_0_22_rolling_6,0.00039221428
25_2_14_rolling_3,0.00039132175
20_1_15_lag_1,0.00039005213
7_0_6_rolling_std_6,0.000389347
8_0_15_rolling_24,0.00038594916
3_2_14_rolling_3,0.00038363106
21_2_17_rolling_std_6,0.00037733026
7_0_7_rolling_6,0.00037646983
2_1_31_rolling_6,0.00037630685
25_2_6_lag_6,0.00037390395
6_2_20_lag_24,0.00037185245
0_0_28_lag_12,0.00037091642
14_0_7_lag_1,0.00036945834
17_2_4_lag_24,0.0003665556
13_0_15_lag_6,0.00036644374
10_0_21_lag_168,0.0003623204
25_2_11_rolling_12,0.0003617879
29_0_17_rolling_12,0.00035795756
27_2_2_rolling_std_24,0.0003562889
6_1_2_rolling_12,0.00035593132
3_0_3_lag_168,0.00035535582
14_1_14_rolling_std_6,0.00035504674
16_1_13_rolling_3,0.00035467223
18_1_19_rolling_std_6,0.00035399495
8_0_24_rolling_std_24,0.0003529383
26_2_28_lag_6,0.00035249733
2_2_12_rolling_24,0.00035052764
21_2_8_rolling_12,0.0003487479
26_2_23_rolling_std_6,0.00034699112
25_1_14_lag_1,0.00034584248
1_2_22_lag_12,0.00034489587
19_1_15_rolling_std_24,0.0003448434
27_0_10_rolling_6,0.00034235534
24_0_22_rolling_std_6,0.00034083423
15_0_14_rolling_std_24,0.0003394764
7_2_7_lag_6,0.00033846957
7_0_5_rolling_std_6,0.00033840508
28_2_10_rolling_3,0.00033738502
13_2_28_lag_12,0.0003369648
16_2_21_rolling_std_24,0.0003346042
20_2_18_rolling_std_24,0.00033389268
5_2_8_rolling_24,0.00033248696
15_1_29_rolling_std_6,0.00033167112
15_0_13_rolling_3,0.00033048497
5_0_6_lag_12,0.00032958708
0_1_0_lag_24,0.0003292366
15_0_13_lag_168,0.00032901755
29_0_13_rolling_std_24,0.00032804682
14_0_22_lag_168,0.0003269266
8_1_28_rolling_24,0.00032690662
25_1_14_rolling_3,0.00032514043
5_0_9_rolling_3,0.00032356352
22_1_21_lag_6,0.000322327
1_1_30_rolling_std_24,0.0003222049
0_0_9_rolling_3,0.00032168807
26_1_15_rolling_3,0.00032137253
15_1_16_lag_168,0.00032020043
8_2_0_rolling_3,0.0003166298
20_1_8_rolling_3,0.00031554597
21_0_21_rolling_3,0.0003128443
21_0_8_lag_168,0.00031250517
23_2_30_lag_12,0.0003118092
7_2_21_rolling_3,0.00030843788
26_2_14_rolling_3,0.0003082861
19_2_23_rolling_3,0.00030760054
29_2_26_lag_168,0.00030507264
8_0_21_rolling_3,0.00030302737
21_1_14_lag_1,0.0003025199
2_2_15_rolling_3,0.00030165477
5_1_22_lag_168,0.00030083163
9_1_21_lag_24,0.00029991407
8_1_3_rolling_3,0.0002997615
0_0_4_rolling_3,0.0002983959
27_0_0_rolling_std_24,0.00029737692
26_1_7_rolling_3,0.0002973279
12_2_25_lag_6,0.00029618782
18_0_31_lag_12,0.0002943568
21_2_4_rolling_std_6,0.00029147038
19_1_5_rolling_3,0.00029075268
1_2_20_lag_12,0.00029033714
21_2_5_lag_168,0.0002900814
0_2_12_rolling_3,0.00028996792
23_1_11_rolling_12,0.00028968396
16_2_11_rolling_3,0.0002887661
13_0_5_lag_24,0.00028751907
27_1_6_rolling_3,0.00028688065
28_0_4_rolling_12,0.00028676822
13_0_16_rolling_24,0.0002856938
9_0_16_lag_168,0.0002854045
2_0_9_rolling_3,0.0002833769
18_0_28_rolling_3,0.0002824082
10_1_31_lag_6,0.0002820424
4_2_9_lag_6,0.00028151978
4_2_18_lag_24,0.00028104105
19_2_15_rolling_std_6,0.00028015283
23_0_10_lag_1,0.00027958635
0_2_25_lag_24,0.00027930868
11_2_29_rolling_std_6,0.00027894272
8_1_25_rolling_std_6,0.00027890288
5_2_0_rolling_3,0.00027765144
3_2_15_lag_168,0.0002774328
28_0_3_lag_24,0.0002774158
2_1_14_rolling_3,0.0002754818
5_2_18_rolling_12,0.000275441
22_0_2_rolling_std_6,0.00027473812
8_0_19_rolling_3,0.00027284044
13_1_30_lag_1,0.00027236989
16_2_4_lag_168,0.00027194913
6_2_1_rolling_24,0.00027009257
2_2_22_rolling_3,0.00026960316
12_1_22_lag_168,0.0002677596
9_1_29_rolling_std_24,0.0002671884
19_2_22_rolling_3,0.00026367296
3_1_10_rolling_6,0.00025898463
16_1_17_rolling_std_24,0.00025868035
12_0_1_lag_168,0.00025860194
21_1_5_lag_168,0.00025854632
7_2_4_rolling_3,0.0002583589
25_1_13_rolling_3,0.00025834359
24_0_22_rolling_12,0.00025811396
13_0_12_rolling_std_6,0.00025767108
0_1_2_lag_24,0.00025653982
20_2_18_lag_1,0.00025648353
28_1_6_lag_168,0.0002546582
25_2_10_rolling_6,0.00025375438
0_2_4_rolling_6,0.00025164272
5_1_29_lag_24,0.00025102132
21_1_21_rolling_3,0.00025087813
9_0_2_rolling_3,0.00025056623
2_0_8_lag_168,0.00024998942
18_0_12_rolling_3,0.00024978956
9_2_21_rolling_24,0.0002482811
24_2_22_lag_24,0.00024820818
25_1_31_lag_6,0.00024807834
2_2_8_rolling_3,0.00024783215
9_0_14_lag_1,0.00024603514
26_1_13_rolling_3,0.0002458845
19_0_3_rolling_3,0.00024586404
5_2_20_rolling_std_24,0.00024531927
29_0_4_lag_168,0.0002451748
4_2_3_rolling_3,0.00024492154
4_2_28_rolling_std_6,0.0002448133
19_0_14_lag_168,0.0002446609
14_2_8_lag_24,0.0002443087
18_1_2_rolling_6,0.00024376948
9_1_29_rolling_12,0.00024339097
14_0_30_lag_24,0.00024322448
20_2_5_rolling_3,0.00024148122
26_2_1_rolling_24,0.0002409225
25_1_8_rolling_3,0.0002396418
27_2_26_lag_168,0.00023947387
22_1_4_lag_24,0.00023896802
18_1_19_lag_24,0.00023887881
9_1_23_lag_168,0.00023808827
4_2_28_rolling_std_24,0.00023794083
16_2_4_rolling_3,0.00023678804
9_0_1_lag_24,0.00023678647
19_0_5_rolling_std_6,0.00023611377
8_2_26_lag_168,0.00023582757
14_2_21_rolling_6,0.00023499246
19_2_21_rolling_24,0.00023463383
11_0_20_rolling_6,0.00023454426
27_0_11_lag_12,0.00023423215
7_2_16_rolling_3,0.00023383115
9_2_18_rolling_3,0.00023367298
8_0_18_lag_168,0.00023350096
17_1_28_rolling_std_6,0.00023256315
25_0_24_lag_168,0.00023160658
21_2_14_rolling_3,0.00023159933
25_0_7_lag_12,0.0002312765
21_2_21_rolling_3,0.00023112951
2_0_23_rolling_std_6,0.0002307566
18_0_15_rolling_3,0.00023071644
22_2_8_rolling_3,0.0002302985
24_2_14_lag_24,0.00022989178
14_1_16_lag_168,0.00022950958
2_1_8_rolling_3,0.00022924002
10_2_9_lag_1,0.0002290291
28_2_13_rolling_6,0.00022902721
7_1_25_rolling_3,0.00022878611
17_2_26_rolling_3,0.00022790524
15_0_23_rolling_6,0.00022766578
26_0_14_lag_12,0.00022759294
8_1_22_rolling_3,0.00022754724
12_0_16_rolling_6,0.00022661079
7_1_28_lag_24,0.00022579133
2_1_15_rolling_3,0.00022568121
9_2_28_lag_1,0.00022501439
12_0_9_rolling_std_6,0.00022475849
13_0_18_lag_1,0.00022402132
2_2_6_rolling_std_24,0.00022347886
25_1_11_rolling_3,0.00022311963
3_2_29_rolling_std_24,0.0002230821
13_1_31_rolling_3,0.00022301887
18_1_9_rolling_3,0.00022183084
16_2_15_lag_168,0.00022146456
23_0_9_lag_12,0.00022039078
26_2_18_rolling_std_24,0.00021989232
18_1_4_lag_12,0.00021957373
23_2_26_rolling_6,0.00021916661
20_0_5_rolling_12,0.00021856325
10_1_17_lag_1,0.00021626751
3_0_0_lag_6,0.00021605653
6_2_24_lag_24,0.0002158788
7_1_3_lag_168,0.000215474
19_1_6_rolling_3,0.00021539387
22_0_9_rolling_3,0.00021492815
10_1_27_lag_24,0.00021437508
25_0_13_rolling_12,0.00021420032
28_1_29_lag_1,0.00021191419
20_1_22_lag_1,0.00021153601
7_2_19_rolling_6,0.00021142208
13_2_28_rolling_12,0.00021086667
15_2_11_rolling_3,0.00021082148
3_1_0_lag_168,0.00021028712
19_0_28_rolling_std_24,0.00020958626
9_0_10_rolling_std_6,0.00020949017
6_0_10_rolling_24,0.00020943361
8_1_23_rolling_3,0.00020891769
11_0_19_lag_24,0.00020874536
26_1_10_rolling_3,0.00020828802
11_1_14_rolling_12,0.00020828555
21_1_10_rolling_std_24,0.00020806097
12_0_0_rolling_24,0.00020795119
15_1_7_rolling_12,0.00020710794
3_1_24_lag_6,0.00020605601
13_2_28_rolling_24,0.00020553263
16_0_20_rolling_3,0.00020437573
12_2_27_rolling_std_6,0.00020409081
19_0_4_rolling_12,0.00020403531
29_0_11_rolling_6,0.00020375234
4_2_27_rolling_6,0.00020307771
27_2_0_rolling_std_6,0.00020185077
8_2_10_rolling_6,0.00020163912
9_2_13_rolling_3,0.00020102446
18_0_14_rolling_3,0.00020069891
23_1_3_lag_24,0.00020025866
14_0_4_rolling_3,0.00019915897
15_1_25_lag_168,0.00019915128
28_0_23_rolling_24,0.00019906493
19_1_24_lag_168,0.00019896119
21_2_11_rolling_6,0.00019843933
14_0_14_rolling_3,0.00019805781
26_0_23_rolling_std_24,0.00019789934
16_1_12_rolling_12,0.0001978369
14_0_19_rolling_3,0.00019732825
27_0_10_rolling_3,0.00019717333
1_1_8_rolling_6,0.00019626331
19_0_24_rolling_24,0.00019620536
19_1_29_lag_6,0.00019609499
22_1_10_rolling_3,0.00019606367
29_0_1_rolling_6,0.00019562131
8_1_14_rolling_3,0.00019507915
9_2_11_rolling_3,0.00019500701
26_2_0_lag_24,0.00019483089
13_1_12_lag_1,0.00019474117
17_2_14_lag_12,0.0001946684
28_2_16_lag_168,0.00019457086
18_0_29_lag_168,0.00019449675
26_2_23_lag_168,0.000192124
27_2_3_rolling_std_6,0.00019210158
13_1_1_rolling_6,0.00019189299
7_2_31_rolling_24,0.00019185191
2_2_21_rolling_3,0.00019167385
26_2_22_lag_24,0.00019112806
10_1_28_rolling_12,0.0001909194
27_1_1_lag_12,0.0001907141
6_1_25_rolling_std_6,0.00019018793
26_1_16_lag_6,0.0001895316
18_1_20_rolling_3,0.00018936682
18_0_4_lag_6,0.00018935624
20_1_16_lag_168,0.00018890772
3_2_22_lag_168,0.00018846607
